feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
RIBOSYN2_PWY_flavin_biosyn_I	diagnosis	CD	-1.33344391548289	0.244685995819841	463	291	8.24410662966372e-08	1.46745098008014e-05
PWY_7199_pyrimidine_dns_salvage	diagnosis	CD	-0.893340461014428	0.191143729689807	463	420	3.89216901902688e-06	0.000346403042693392
SER_GLYSYN_PWY_SP_of_L_serine__glycine_biosyn_I	diagnosis	CD	-0.71268467782545	0.16820600117508	463	449	2.73816937922382e-05	0.00162464716500613
PWY_5690_TCA_cyc_II	diagnosis	CD	-0.923209475057813	0.224642081783176	463	219	4.69136620306826e-05	0.00208765796036538
COA_PWY_coenzyme_A_biosyn_I	diagnosis	CD	0.527167438350478	0.134645164058924	463	445	0.00010398987181171	0.00359592212088249
P105_PWY_TCA_cyc_IV	diagnosis	CD	-0.646498491089534	0.166757934611497	463	50	0.000121210858007275	0.00359592212088249
PWY_7229_SP_of_adenosine_nt_de_novo_biosyn_I	diagnosis	CD	0.361507880228965	0.0949265543782734	463	457	0.000158902615663114	0.00404066651257633
PWY0_1296_purine_rns_deg	diagnosis	CD	0.394303142925836	0.111321271881078	463	461	0.000437572180543523	0.00973598101709339
PWY_1269_CMP_3_deoxy_D_manno_octulosonate_biosyn_I	diagnosis	CD	-0.551967949366112	0.160980780720636	463	449	0.000660854596493215	0.011087086654883
PWY_4242_pantothenate__coenzyme_A_biosyn_III	diagnosis	CD	0.647446295676804	0.189153651237188	463	418	0.000675052515327492	0.011087086654883
PWY_6163_chorismate_biosyn_from_3_dehydroquinate	diagnosis	CD	-0.38272935504906	0.112476287242328	463	458	0.000725394773204533	0.011087086654883
PWY_6901_SP_of_glucose__xylose_deg	diagnosis	CD	-0.691129969732513	0.203611407671145	463	265	0.000747444044149414	0.011087086654883
PWY66_422_D_galactose_deg_V	diagnosis	CD	0.430731118749791	0.130083456361787	463	454	0.00100213733888018	0.0137215727938978
PANTOSYN_PWY_pantothenate__coenzyme_A_biosyn_I	diagnosis	CD	0.389944015527432	0.120680544709284	463	441	0.00132111406015498	0.0167970216219705
FUCCAT_PWY_fucose_deg	diagnosis	CD	-0.937135834957177	0.293822978503996	463	152	0.00152275426682468	0.0178711798328133
PWY_6700_queuosine_biosyn	diagnosis	CD	0.407568057514286	0.128423577776404	463	448	0.00160639818721917	0.0178711798328133
PWY_621_sucrose_deg_III	diagnosis	CD	-0.526961448306977	0.171392238267995	463	444	0.00223331898663856	0.0211522923360285
PWY_7220_adenosine_dnt_de_novo_biosyn_II	diagnosis	CD	0.35341787518924	0.11507228383937	463	456	0.00225782895721653	0.0211522923360285
PWY_7222_guanosine_dnt_de_novo_biosyn_II	diagnosis	CD	0.35341787518924	0.11507228383937	463	456	0.00225782895721653	0.0211522923360285
PWY_6126_SP_of_adenosine_nt_de_novo_biosyn_II	diagnosis	CD	0.314067355399438	0.106280599888219	463	456	0.00328636930556849	0.0292486868195596
PWY_5676_acetyl_CoA_fermentation_to_butanoate_II	diagnosis	CD	0.724192374809405	0.255566817058013	463	305	0.00480400909376244	0.0394073445531003
PWY_5100_pyruvate_fermentation_to_acetate__lactate_II	diagnosis	CD	0.437119585464183	0.154503288482948	463	451	0.00487057067510228	0.0394073445531003
PWY_6527_stachyose_deg	diagnosis	CD	0.383425663515862	0.136791346554741	463	448	0.00527694784986274	0.0395905173036812
PWY_6317_galactose_deg_I	diagnosis	CD	0.415907929685117	0.148580088507902	463	446	0.00533804727690083	0.0395905173036812
GLUCUROCAT_PWY_SP_of_beta_D_glucuronide__D_glucuronate_deg	diagnosis	CD	-0.39299995636948	0.144338411531127	463	446	0.00671979133139883	0.0472332407766342
COMPLETE_ARO_PWY_SP_of_aromatic_amino_acid_biosyn	diagnosis	CD	-0.251551956634063	0.092689999383814	463	451	0.00689923741681174	0.0472332407766342
TCA_GLYOX_BYPASS_SP_of_glyoxylate_bypass__TCA	diagnosis	CD	-0.506420454818174	0.188675484401849	463	70	0.00753534432390182	0.0496774551723898
PWY_6545_pyrimidine_dnt_de_novo_biosyn_III	diagnosis	CD	-0.476428350153877	0.179727557176833	463	398	0.00830620378782495	0.0514684637688996
ARO_PWY_chorismate_biosyn_I	diagnosis	CD	-0.26489938335251	0.100053277074832	463	453	0.00838531151291061	0.0514684637688996
TCA_TCA_cyc_I	diagnosis	CD	-0.556866462977371	0.21549667199486	463	236	0.0100703379724292	0.0597506719697466
PWY_4984_urea_cyc	diagnosis	CD	-0.583120684523204	0.227819803463906	463	395	0.010798837551157	0.0620062285195467
PWY66_399_gluconeogenesis_III	diagnosis	CD	-0.724012470057217	0.285921679204048	463	410	0.0116663894027705	0.0620694439891255
PWY_5030_L_histidine_deg_III	diagnosis	CD	-0.771660186274132	0.305029643597939	463	356	0.0117459560409937	0.0620694439891255
GLYOXYLATE_BYPASS_glyoxylate_cyc	diagnosis	CD	-0.825805677661523	0.326861677995894	463	126	0.011855961211406	0.0620694439891255
